imagen,circularidad,compacidad,aspect_ratio,media_intensidad,std_intensidad,entropia,hu_1,hu_2,hu_3,hu_4,hu_5,hu_6,hu_7,H_0,H_1,H_2,H_3,H_4,H_5,H_6,H_7,H_8,H_9,H_10,H_11,H_12,H_13,H_14,H_15,S_0,S_1,S_2,S_3,S_4,S_5,S_6,S_7,S_8,S_9,S_10,S_11,S_12,S_13,S_14,S_15,V_0,V_1,V_2,V_3,V_4,V_5,V_6,V_7,V_8,V_9,V_10,V_11,V_12,V_13,V_14,V_15,clase
dataset\Entrenamiento\Class_1\WIN_20260702_19_07_57_Pro.jpg,0.42215060264117266,29.76750604065743,0.9585987230617875,198.93202679927012,46.80758975668343,6.39292573928833,0.16788916550711802,2.002055646549798e-06,9.054798017277303e-06,4.723886510135862e-07,-7.94516653481164e-13,2.83915475661648e-10,-5.685472057313909e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11219757050275803,0.8538019061088562,0.03400053083896637,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002089340123347938,0.08530079573392868,0.14935997128486633,0.14806456863880157,0.11211399734020233,0.08064853399991989,0.05872438848018646,0.028303595259785652,0.02000194974243641,0.01743902638554573,0.01477859914302826,0.01594863086938858,0.01714651845395565,0.026813199743628502,0.2251472920179367,0.0,0.0,0.0,0.0,0.0,1.3928935004514642e-05,0.00026464974507689476,0.006922680418938398,0.01941693387925625,0.0033568732906132936,0.0016018274473026395,0.0026743554044514894,0.0085802236571908,0.01802404224872589,0.04709372669458389,0.8920507431030273,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_02_Pro.jpg,0.10342579406449337,121.50132109304332,0.9884169846007066,179.3283257918552,50.059927737366245,6.713059902191162,0.3448712956781403,0.025475189351759332,0.019426139516079265,0.002170220004332787,-1.052414735895642e-05,-0.00030656884079725735,-9.370436362742562e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09692307561635971,0.8507692217826843,0.05226244404911995,2.2624433768214658e-05,2.2624433768214658e-05,0.0,0.0,0.0,0.0,0.0,4.5248867536429316e-05,0.09217194467782974,0.1080995500087738,0.07058823853731155,0.06997737288475037,0.06108597293496132,0.04076923057436943,0.025678733363747597,0.02764705941081047,0.02088235318660736,0.021244343370199203,0.020384615287184715,0.02520361915230751,0.04647058993577957,0.36975112557411194,0.0,0.0,0.0,0.0,0.0,0.0,0.0007466063252650201,0.012601809576153755,0.026176471263170242,0.008823529817163944,0.00196832581423223,0.001425339374691248,0.006018099375069141,0.02703619934618473,0.0769456997513771,0.838257908821106,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_07_Pro.jpg,0.1233114406148497,101.90758092899402,0.7499999977678572,168.8707904312147,47.602940003483816,7.015439987182617,0.33907063742235316,0.02800959781481665,0.02021189973462722,0.002148325129502286,-1.3828594819086308e-05,-0.0003569797951584754,-3.0289144905550384e-06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07821733504533768,0.8671517968177795,0.05447601526975632,0.00015483472088817507,0.0,0.0,0.0,0.0,0.0,0.0,0.00020644628966692835,0.05091481655836105,0.06172743812203407,0.05744367837905884,0.06288869678974152,0.05568888410925865,0.05285025015473366,0.03390880301594734,0.026167066767811775,0.024644525721669197,0.027844442054629326,0.032154008746147156,0.03816675767302513,0.05917266756296158,0.4162215292453766,0.0,0.0,0.0,0.0,0.0,5.161157241673209e-05,0.0011354545131325722,0.017160847783088684,0.044927872717380524,0.007303037215024233,0.004541818052530289,0.004154731519520283,0.0063224174082279205,0.03156047686934471,0.08484942466020584,0.7979922890663147,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_13_Pro.jpg,0.2149789185736725,58.45396700982699,0.9849849820270722,182.03210528286345,49.668221168132376,6.792330741882324,0.19786891972051163,0.0003063116011009678,2.599417540787989e-05,9.187353678687089e-05,-8.336755488021083e-10,-1.5811089637421419e-06,-4.411686857482593e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10927028208971024,0.8465873003005981,0.044104982167482376,3.744056448340416e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0003744056448340416,0.11144183576107025,0.09333932399749756,0.07094986736774445,0.0677674189209938,0.06020442396402359,0.05327792093157768,0.032854095101356506,0.026657680049538612,0.02454228885471821,0.022614100947976112,0.02210865169763565,0.022277135401964188,0.03154367581009865,0.3600471615791321,0.0,0.0,0.0,0.0,0.0,0.0,0.0007300910074263811,0.016511287540197372,0.034819722175598145,0.00423078378662467,0.00234003528021276,0.0020592310465872288,0.003032685723155737,0.012617469765245914,0.06020442396402359,0.863454282283783,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_18_Pro.jpg,0.6171694908807032,20.361295883576496,1.0410094604384559,191.74157303370785,49.0192214672526,6.580648899078369,0.1684514338842812,8.449651310889557e-05,5.167747829227502e-06,7.836380774574779e-07,-1.557480395910393e-12,-4.943461096208743e-09,2.471743559211604e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1324913501739502,0.8292582035064697,0.038181599229574203,6.882667366880924e-05,0.0,0.0,0.0,0.0,0.0,0.0,6.882667366880924e-05,0.12889516353607178,0.16585507988929749,0.06590154021978378,0.051499560475349426,0.05411497503519058,0.07582978904247284,0.03747612610459328,0.02519056387245655,0.02267839014530182,0.021921297535300255,0.02166319638490677,0.023418277502059937,0.03344976529479027,0.27203744649887085,0.0,0.0,0.0,1.720666841720231e-05,5.1620008889585733e-05,0.00044737340067513287,0.0006882667657919228,0.00991104170680046,0.024244196712970734,0.008465681225061417,0.0025637936778366566,0.0022196604404598475,0.004198427312076092,0.018170243129134178,0.04950358718633652,0.8795189261436462,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_23_Pro.jpg,0.38810796583646723,32.37854339604941,0.9724517879546782,197.01388338503165,46.59833344767954,6.51900577545166,0.16708312244892415,1.1222126552444327e-05,1.8360781042203508e-06,5.229858507602285e-07,-8.422015977756303e-14,-1.328133018142127e-09,5.055165922180222e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11699758470058441,0.8442081809043884,0.038794223219156265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.565324580762535e-05,0.06668397784233093,0.13052567839622498,0.1408972293138504,0.1216709241271019,0.09477870166301727,0.06356841325759888,0.03194818273186684,0.021713286638259888,0.018406417220830917,0.017477214336395264,0.015072218142449856,0.01587843894958496,0.024733195081353188,0.2365504652261734,0.0,0.0,0.0,0.0,0.0,9.565324580762535e-05,0.0005192604730837047,0.010795151814818382,0.025197796523571014,0.0030609038658440113,0.001721758395433426,0.0015304519329220057,0.003388857701793313,0.01533184852451086,0.04671977832913399,0.8916385173797607,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_28_Pro.jpg,0.35699275777472955,35.20063177899668,1.0128205102235373,196.3969185342217,45.92651769240646,6.546980857849121,0.16686087232002653,2.522975367568358e-06,9.388636899565225e-06,6.350978065189382e-07,9.104357125039322e-13,7.04360777153012e-10,-1.255451440682726e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1088734120130539,0.8623687624931335,0.028757823631167412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0007949727587401867,0.05698566511273384,0.09335251152515411,0.09559863060712814,0.15175145864486694,0.14942963421344757,0.08359832316637039,0.03384312614798546,0.02257470227777958,0.018019381910562515,0.01687108911573887,0.015634464100003242,0.0168332327157259,0.023193014785647392,0.22151978313922882,0.0,0.0,0.0,0.0,0.0,2.5237230147467926e-05,0.001274480135180056,0.013098122552037239,0.02690288797020912,0.0063597820699214935,0.0024606299120932817,0.0019054108997806907,0.0039748637937009335,0.01900363340973854,0.04421562701463699,0.8807793259620667,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_33_Pro.jpg,0.3963924213387567,31.701843773287507,1.0136986273597297,197.9166844316258,42.933222006256784,6.5243401527404785,0.16662588022392416,3.5881184578897983e-06,4.962702365920396e-06,2.218754366849189e-07,-2.0923635763122834e-13,2.2321021635624877e-10,-1.0210761453291622e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09934165328741074,0.8834409713745117,0.017217380926012993,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00035111920442432165,0.04096808657050133,0.08593641966581345,0.08092043548822403,0.12457207590341568,0.1940811276435852,0.08245030790567398,0.03840993344783783,0.02446548454463482,0.01878487691283226,0.017781678587198257,0.018797416239976883,0.02199510857462883,0.030610069632530212,0.21987585723400116,0.0,1.2539971066871658e-05,2.5079942133743316e-05,5.015988426748663e-05,0.0003887391067110002,0.0007649382459931076,0.0014044768176972866,0.008840680122375488,0.020477773621678352,0.004940748680382967,0.00194369547534734,0.001793215866200626,0.0023073547054082155,0.01139883417636156,0.038083892315626144,0.9075678586959839,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_38_Pro.jpg,0.4659390232482414,26.96998960633383,1.0396341431718472,199.6677610411441,44.849594146874956,6.44544792175293,0.16684262808094738,7.515966714543925e-06,1.1859611506104345e-05,1.7892928462073794e-08,-3.258403770662058e-15,1.2785316968034377e-11,7.571070920720955e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11098270118236542,0.8416352868080139,0.047382038086652756,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.2529976528603584e-05,0.06270765513181686,0.12009665369987488,0.10811982303857803,0.10918354988098145,0.1349363774061203,0.11255860328674316,0.037270016968250275,0.021038254722952843,0.017847059294581413,0.016783326864242554,0.017019711434841156,0.019633078947663307,0.02904907613992691,0.1937042772769928,0.0,0.0,0.0,0.0,0.0,0.0,0.0002757823676802218,0.00915334839373827,0.014668995514512062,0.00468830019235611,0.0018122841138392687,0.0016415617428719997,0.0049640825018286705,0.017755132168531418,0.043271567672491074,0.9017689228057861,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_44_Pro.jpg,0.6720538334176998,18.698458351605737,0.9945054917733366,193.11728955556362,43.58716817250236,6.297218322753906,0.16612171840664347,9.822481803497691e-06,2.2738859446694917e-06,8.714924256802747e-08,4.104541581686302e-15,-1.6268006982464973e-10,-3.857761710764228e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07962565869092941,0.8993329405784607,0.021041417494416237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.013620019890367985,0.041925445199012756,0.05049698054790497,0.0650855302810669,0.16778653860092163,0.257170170545578,0.04878993704915047,0.024588676169514656,0.019491761922836304,0.017046211287379265,0.017712078988552094,0.018462693318724632,0.025678277015686035,0.23214566707611084,0.0,0.0,0.0,0.0,3.6320052458904684e-05,0.0005084807053208351,0.00318405800499022,0.014455380849540234,0.017300451174378395,0.002312376629561186,0.0019976028706878424,0.005109020508825779,0.012784657999873161,0.01989128254354,0.035073064267635345,0.8873472809791565,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_49_Pro.jpg,0.6337832092246772,19.827553698634965,0.988857935964184,193.01622633147022,43.845571379952844,6.372161865234375,0.1662323666206464,2.3593344503636812e-05,3.457307880681765e-06,1.9853000356513824e-07,6.083116687189547e-14,-6.360117953165011e-10,-1.5281569319110524e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0857730284333229,0.8853322863578796,0.028894688934087753,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.693398684845306e-05,0.01701425574719906,0.0409228578209877,0.05503163859248161,0.07716740667819977,0.1809026598930359,0.22876910865306854,0.04590894654393196,0.0250412430614233,0.018885578960180283,0.016558736562728882,0.016558736562728882,0.017297416925430298,0.024499544873833656,0.23540492355823517,0.0,0.0,0.0,1.2311328646319453e-05,4.924531458527781e-05,0.0003939625166822225,0.002683869795873761,0.011831186711788177,0.023773176595568657,0.002585379173979163,0.001317312242463231,0.0018466992769390345,0.009516657330095768,0.020916948094964027,0.0460813045501709,0.878991961479187,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_54_Pro.jpg,0.6594944275044807,19.054551623355792,0.9946380670385039,194.39442360020618,41.556107077446285,6.489438056945801,0.16578863533505245,8.673595666764706e-06,6.937423041937037e-07,2.7569931839345484e-08,-3.0376080166481383e-15,7.428470620229047e-11,-2.3045514370815492e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08405356109142303,0.8965033888816833,0.0193951316177845,4.794840788235888e-05,0.0,0.0,0.0,0.0,0.0,0.0,3.5961304092779756e-05,0.01035685557872057,0.035601694136857986,0.07122735679149628,0.10729654878377914,0.13672488927841187,0.20599834620952606,0.05508073419332504,0.030015703290700912,0.021516848355531693,0.019215324893593788,0.01967083476483822,0.02329093962907791,0.03564964234828949,0.22831833362579346,0.0,0.0,0.0,0.0,5.9935508033959195e-05,0.00047948406427167356,0.0017860782099887729,0.012958057224750519,0.01850808598101139,0.005861692596226931,0.0026251752860844135,0.0038598468527197838,0.006508996244519949,0.01045275293290615,0.03515816852450371,0.9017417430877686,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_08_59_Pro.jpg,0.6915031609185148,18.172542548472737,0.9898648615207268,193.9490783976407,41.481268513798895,6.204555511474609,0.16620303544910162,4.736767297939224e-06,1.3581023347806552e-07,2.703330032594266e-08,2.9063734009556775e-17,-4.124697458730154e-11,-1.6377457345145173e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06886212527751923,0.9058245420455933,0.025313345715403557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00935119204223156,0.026099778711795807,0.042344555258750916,0.10047923028469086,0.13773654401302338,0.26422953605651855,0.06000245735049248,0.030130252242088318,0.022216761484742165,0.017006635665893555,0.016539691016077995,0.017657902091741562,0.02612435445189476,0.23008109629154205,0.0,0.0,0.0,0.0,0.0,4.915212412015535e-05,0.0012533791596069932,0.010739739052951336,0.020152371376752853,0.003588105086237192,0.0014868518337607384,0.0010321945883333683,0.0034037847071886063,0.011329565197229385,0.03821577876806259,0.9087491035461426,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_09_04_Pro.jpg,0.7027182838502717,17.882515515811768,0.9861495817558183,190.70578526438428,42.05300209882363,6.3606672286987305,0.16572409497272014,4.574365923858624e-06,5.153875962534226e-07,5.0864919340307553e-08,-6.145976849726608e-15,-9.540580581838525e-11,-5.481956759315264e-15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07922426611185074,0.8963943719863892,0.02438136376440525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005728224758058786,0.03351982310414314,0.05203946679830551,0.06657847762107849,0.12665201723575592,0.25467541813850403,0.060971613973379135,0.03256107494235039,0.02457554079592228,0.01989101804792881,0.01935703121125698,0.020509958267211914,0.026881394907832146,0.256058931350708,0.0,0.0,0.0,0.0,2.4272139853565022e-05,0.0001213606956298463,0.0008737969910725951,0.011019551195204258,0.02526729740202427,0.004599570296704769,0.002621391089633107,0.002111676149070263,0.002936928765848279,0.010085074231028557,0.041274771094322205,0.899064302444458,Cuadrados
dataset\Entrenamiento\Class_1\WIN_20260702_19_09_09_Pro.jpg,0.6969859029376524,18.02959078688731,0.9835526283435769,191.8702149361582,40.993457687473125,6.218691349029541,0.16624709276356797,6.201045655926503e-06,8.884204958316188e-07,8.15306639267051e-08,5.1398664952345e-16,-1.8522182458373896e-10,-2.1936714096172088e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06509530544281006,0.9075492024421692,0.027355510741472244,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.005665269680321217,0.021260123699903488,0.031374044716358185,0.06816757470369339,0.13456551730632782,0.27784401178359985,0.06724589318037033,0.03748172149062157,0.025364678353071213,0.018888328224420547,0.01777002215385437,0.020707113668322563,0.02692539244890213,0.24674032628536224,0.0,0.0,0.0,1.2289088772377e-05,7.3734532634262e-05,0.0003072272229474038,0.0015975815476849675,0.009438020177185535,0.017155567184090614,0.0033917883411049843,0.001437823404558003,0.0018433632794767618,0.004313469864428043,0.016295330598950386,0.042114704847335815,0.9020190834999084,Cuadrados
